iter	Logloss
0	0.6845880287
1	0.6824238924
2	0.6820287267
3	0.6809673464
4	0.6806334524
5	0.6804716105
6	0.6803386719
7	0.6799188598
8	0.679886512
9	0.6795791667
10	0.67956617
11	0.6794449531
12	0.6792434939
13	0.6791829523
14	0.6790624552
15	0.6789597154
16	0.6788705995
17	0.678828823
18	0.678451898
19	0.6783423102
20	0.678279414
21	0.6780286928
22	0.6779435047
23	0.6778475821
24	0.6777006905
25	0.6776637054
26	0.6776110914
27	0.6774319857
28	0.6772611263
29	0.6771969243
30	0.6771775217
31	0.6771525977
32	0.6769050536
33	0.6768088019
34	0.6766434127
35	0.6765621422
36	0.6764759362
37	0.6764174921
38	0.6761952937
39	0.6760010218
40	0.675950711
41	0.6758764632
42	0.6756786747
43	0.6755423533
44	0.6755101597
45	0.6754719613
46	0.6754155635
47	0.6753313111
48	0.6753013796
49	0.6752709751
50	0.6751927687
51	0.6751599479
52	0.6751368952
53	0.6751030256
54	0.6750451471
55	0.6750314512
56	0.6750270813
57	0.6750121207
58	0.6749191284
59	0.6747747971
60	0.6746790801
61	0.674584525
62	0.6745057633
63	0.6744729836
64	0.6744624649
65	0.6744600795
66	0.6744241123
67	0.67439743
68	0.674323686
69	0.6742264575
70	0.6742054099
71	0.6741784705
72	0.6741039657
73	0.6740619731
74	0.6740304788
75	0.6739108659
76	0.6738649147
77	0.6738499027
78	0.673818398
79	0.6737739172
80	0.6737372406
81	0.6737249945
82	0.6737176324
83	0.6737049956
84	0.6736994844
85	0.67366289
86	0.6736429425
87	0.6736123838
88	0.6735844882
89	0.673572458
90	0.6735560579
91	0.6735457449
92	0.6734921437
93	0.6734739442
94	0.6734422545
95	0.6734206824
96	0.6734165695
97	0.6733248831
98	0.673322035
99	0.6732932242
100	0.6732863249
101	0.6732530105
102	0.67323878
103	0.6732365179
104	0.6731755136
105	0.6731050908
106	0.6731016565
107	0.6730981297
108	0.6730945618
109	0.6730804238
110	0.6730600547
111	0.6730461018
112	0.6730449707
113	0.6730399839
114	0.6730226686
115	0.6730184735
116	0.6730142578
117	0.6729807789
118	0.6729681935
119	0.6729586002
120	0.6729497473
121	0.672932905
122	0.6729287716
123	0.6729107983
124	0.6728585955
125	0.6728254149
126	0.6727670017
127	0.6727589815
128	0.6727527814
129	0.6727410597
130	0.6727316206
131	0.6726949337
132	0.6726722203
133	0.672669732
134	0.6726658968
135	0.672661352
136	0.6726516559
137	0.6726433993
138	0.6726380628
139	0.6726229686
140	0.6725910115
141	0.6725669923
142	0.6725629719
143	0.672555579
144	0.6725560623
145	0.67254104
146	0.6725294725
147	0.672515355
148	0.6725082295
149	0.6724779895
150	0.6724348762
151	0.6723433955
152	0.6723313447
153	0.6723314475
154	0.6723282087
155	0.6723204867
156	0.6723089707
157	0.6723032846
158	0.6722964881
159	0.6722819285
160	0.6722797589
161	0.6722764275
162	0.6722573746
163	0.6722454061
164	0.6722421261
165	0.6722077115
166	0.6722005345
167	0.672194468
168	0.6721925658
169	0.6721577914
170	0.6721208989
171	0.6720708246
172	0.6720220047
173	0.6719834258
174	0.6719796008
175	0.6719513968
176	0.6719407547
177	0.6719283029
178	0.6719159643
179	0.6719182161
180	0.6719091986
181	0.671890557
182	0.6718188797
183	0.6717575258
184	0.6717311623
185	0.6717041612
186	0.6716702094
187	0.6716701374
188	0.6716676491
189	0.6716634025
190	0.67166331
191	0.671641851
192	0.6716144593
193	0.671588106
194	0.6715561078
195	0.6715423502
196	0.6715378054
197	0.6715360163
198	0.6715374661
199	0.6715332401
