iter	Passed	Remaining
0	70	14028
1	87	8619
2	100	6605
3	107	5278
4	117	4574
5	123	4002
6	131	3629
7	139	3350
8	149	3164
9	158	3006
10	164	2819
11	170	2678
12	178	2561
13	183	2432
14	189	2339
15	195	2250
16	204	2202
17	212	2145
18	220	2100
19	226	2035
20	231	1976
21	235	1907
22	239	1846
23	244	1792
24	249	1745
25	253	1694
26	256	1645
27	263	1618
28	267	1575
29	270	1535
30	276	1509
31	286	1501
32	292	1481
33	309	1511
34	360	1701
35	378	1724
36	392	1729
37	399	1701
38	419	1732
39	425	1701
40	441	1712
41	452	1700
42	486	1775
43	507	1798
44	514	1770
45	518	1735
46	525	1710
47	531	1682
48	536	1653
49	552	1658
50	559	1633
51	563	1605
52	567	1574
53	572	1547
54	576	1520
55	580	1492
56	583	1464
57	588	1440
58	592	1417
59	597	1393
60	600	1367
61	604	1346
62	608	1323
63	612	1301
64	615	1278
65	619	1257
66	623	1237
67	627	1217
68	632	1200
69	636	1182
70	641	1166
71	645	1148
72	653	1136
73	668	1137
74	675	1125
75	682	1113
76	686	1095
77	689	1078
78	696	1067
79	700	1050
80	704	1035
81	709	1021
82	713	1005
83	717	990
84	720	975
85	723	959
86	727	945
87	731	930
88	735	917
89	742	907
90	745	893
91	750	880
92	754	867
93	759	856
94	763	843
95	769	833
96	773	821
97	777	808
98	781	797
99	785	785
100	789	774
101	793	762
102	797	751
103	800	739
104	807	730
105	810	718
106	816	709
107	827	705
108	851	710
109	875	716
110	891	715
111	917	720
112	932	718
113	948	715
114	968	715
115	994	720
116	1031	731
117	1106	768
118	1166	794
119	1175	783
120	1184	773
121	1198	766
122	1209	757
123	1221	748
124	1243	746
125	1259	739
126	1277	734
127	1302	732
128	1320	726
129	1336	719
130	1368	720
131	1375	708
132	1390	700
133	1404	691
134	1425	686
135	1436	675
136	1457	670
137	1469	660
138	1484	651
139	1501	643
140	1517	635
141	1541	629
142	1557	620
143	1565	608
144	1576	598
145	1604	593
146	1622	585
147	1659	583
148	1704	583
149	1745	581
150	1753	568
151	1765	557
152	1772	544
153	1776	530
154	1780	516
155	1784	503
156	1788	489
157	1793	476
158	1799	463
159	1806	451
160	1810	438
161	1827	428
162	1834	416
163	1844	404
164	1851	392
165	1856	380
166	1860	367
167	1866	355
168	1871	343
169	1876	331
170	1894	321
171	1903	309
172	1908	297
173	1914	286
174	1918	274
175	1925	262
176	1931	250
177	1938	239
178	1943	227
179	1946	216
180	1950	204
181	1954	193
182	1959	182
183	1964	170
184	1968	159
185	1974	148
186	1983	137
187	1987	126
188	2007	116
189	2024	106
190	2040	96
191	2059	85
192	2078	75
193	2096	64
194	2114	54
195	2139	43
196	2154	32
197	2163	21
198	2185	10
199	2200	0
